[2023-08-10 17:43:47:1538][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2023-08-10 17:43:47:1580][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
[2023-08-10 17:43:47:1870][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2023-08-10 17:43:47:1926][main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.mariadb.jdbc.Connection@605c7a9e
[2023-08-10 17:43:47:1928][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2023-08-10 17:43:47:1959][main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MariaDBDialect
[2023-08-10 17:43:48:2460][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2023-08-10 17:43:48:2467][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2023-08-10 17:43:49:3991][main] INFO  c.example.demo.openapi.OpenAPITest - Started OpenAPITest in 3.688 seconds (process running for 4.96)
[2023-08-10 17:43:49:4292][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2023-08-10 17:43:49:4294][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2023-08-10 17:43:49:4299][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
[2023-08-10 17:45:02:552][background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
[2023-08-10 17:45:02:572][main] INFO  c.example.demo.openapi.OpenAPITest - Starting OpenAPITest using Java 17.0.7 with PID 29828 (started by imjiyeon in D:\0.tool\spring-workspace\project09)
[2023-08-10 17:45:02:572][main] INFO  c.example.demo.openapi.OpenAPITest - No active profile set, falling back to 1 default profile: "default"
[2023-08-10 17:45:02:1140][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2023-08-10 17:45:02:1189][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41 ms. Found 1 JPA repository interfaces.
[2023-08-10 17:45:03:1541][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2023-08-10 17:45:03:1589][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
[2023-08-10 17:45:03:1871][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2023-08-10 17:45:03:1927][main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.mariadb.jdbc.Connection@203765b2
[2023-08-10 17:45:03:1929][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2023-08-10 17:45:03:1956][main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MariaDBDialect
[2023-08-10 17:45:04:2464][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2023-08-10 17:45:04:2473][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2023-08-10 17:45:05:4042][main] INFO  c.example.demo.openapi.OpenAPITest - Started OpenAPITest in 3.731 seconds (process running for 4.456)
[2023-08-10 17:45:07:6239][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2023-08-10 17:45:07:6240][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2023-08-10 17:45:07:6244][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
